Date,High,Low,Open,Close,Volume,Adj Close,Name
2017-12-05,161.5800018310547,158.1999969482422,159.75,159.19000244140625,918200,159.19000244140625,URI
2017-12-06,159.6300048828125,156.85000610351562,158.19000244140625,158.27999877929688,606400,158.27999877929688,URI
2017-12-07,163.16000366210938,157.86000061035156,158.22000122070312,162.3800048828125,966100,162.3800048828125,URI
2017-12-08,165.17999267578125,162.77000427246094,163.74000549316406,164.0,1094800,164.0,URI
2017-12-11,165.64999389648438,163.1199951171875,164.52999877929688,163.82000732421875,949400,163.82000732421875,URI
2017-12-12,165.85000610351562,163.16000366210938,164.0,163.64999389648438,832300,163.64999389648438,URI
2017-12-13,165.6999969482422,160.3699951171875,162.99000549316406,163.80999755859375,948200,163.80999755859375,URI
2017-12-14,165.3000030517578,160.9499969482422,163.82000732421875,161.1699981689453,990400,161.1699981689453,URI
2017-12-15,165.60000610351562,162.33999633789062,162.8000030517578,164.2899932861328,1225900,164.2899932861328,URI
2017-12-18,169.0500030517578,165.55999755859375,165.97999572753906,168.57000732421875,1292000,168.57000732421875,URI
2017-12-19,170.3300018310547,165.02000427246094,169.3699951171875,166.3800048828125,1390100,166.3800048828125,URI
2017-12-20,169.02000427246094,165.72999572753906,167.99000549316406,168.3000030517578,1419100,168.3000030517578,URI
2017-12-21,170.74000549316406,167.64999389648438,169.69000244140625,170.47000122070312,1090300,170.47000122070312,URI
2017-12-22,171.32000732421875,168.22000122070312,170.47000122070312,169.49000549316406,575000,169.49000549316406,URI
2017-12-26,171.8300018310547,168.99000549316406,169.0,170.61000061035156,749700,170.61000061035156,URI
2017-12-27,172.22000122070312,170.02000427246094,170.47000122070312,171.47000122070312,611000,171.47000122070312,URI
2017-12-28,173.47000122070312,171.02999877929688,172.3800048828125,173.3300018310547,801600,173.3300018310547,URI
2017-12-29,174.39999389648438,171.77999877929688,173.7899932861328,171.91000366210938,624500,171.91000366210938,URI
2018-01-02,173.9600067138672,171.6999969482422,172.9199981689453,173.5800018310547,813300,173.5800018310547,URI
2018-01-03,175.74000549316406,173.39999389648438,174.4499969482422,175.19000244140625,844100,175.19000244140625,URI
2018-01-04,176.6199951171875,169.6300048828125,175.85000610351562,172.0,1331000,172.0,URI
2018-01-05,173.32000732421875,169.5,173.0,171.3800048828125,1078600,171.3800048828125,URI
2018-01-08,172.6699981689453,169.42999267578125,171.2899932861328,172.4499969482422,1623600,172.4499969482422,URI
2018-01-09,173.52999877929688,170.6999969482422,172.75,172.42999267578125,981500,172.42999267578125,URI
2018-01-10,174.92999267578125,171.5,171.72999572753906,173.1999969482422,1100500,173.1999969482422,URI
2018-01-11,179.99000549316406,174.63999938964844,174.80999755859375,179.99000549316406,1533900,179.99000549316406,URI
2018-01-12,182.86000061035156,179.52000427246094,180.60000610351562,180.88999938964844,882600,180.88999938964844,URI
2018-01-16,184.0,176.67999267578125,181.9499969482422,178.97000122070312,1083800,178.97000122070312,URI
2018-01-17,180.67999267578125,177.52000427246094,178.75999450683594,180.1699981689453,693800,180.1699981689453,URI
2018-01-18,181.7899932861328,179.77000427246094,180.3300018310547,181.24000549316406,814400,181.24000549316406,URI
2018-01-19,184.25,180.82000732421875,181.6999969482422,183.6699981689453,1208300,183.6699981689453,URI
2018-01-22,187.1699981689453,181.0,184.0,187.1199951171875,995400,187.1199951171875,URI
2018-01-23,188.72999572753906,183.8800048828125,187.5,185.8699951171875,1531500,185.8699951171875,URI
2018-01-24,187.0800018310547,183.8800048828125,186.47000122070312,185.52000427246094,1836900,185.52000427246094,URI
2018-01-25,189.0,176.5500030517578,186.0,181.91000366210938,3108700,181.91000366210938,URI
2018-01-26,187.25,180.44000244140625,184.69000244140625,185.3699951171875,1963200,185.3699951171875,URI
2018-01-29,188.30999755859375,180.2100067138672,184.92999267578125,180.47000122070312,1996900,180.47000122070312,URI
2018-01-30,182.99000549316406,176.7899932861328,177.05999755859375,182.13999938964844,1401100,182.13999938964844,URI
2018-01-31,185.88999938964844,179.77999877929688,185.10000610351562,181.11000061035156,1420300,181.11000061035156,URI
2018-02-01,183.52999877929688,178.4499969482422,180.67999267578125,179.64999389648438,1431400,179.64999389648438,URI
2018-02-02,178.2100067138672,173.0399932861328,177.5800018310547,173.3000030517578,1496700,173.3000030517578,URI
2018-02-05,176.00999450683594,166.5800018310547,171.72000122070312,166.7100067138672,2209500,166.7100067138672,URI
2018-02-06,172.75999450683594,161.41000366210938,162.27999877929688,171.33999633789062,1982500,171.33999633789062,URI
2018-02-07,176.05999755859375,170.30999755859375,170.49000549316406,173.5800018310547,1839700,173.5800018310547,URI
2018-02-08,173.9199981689453,161.86000061035156,173.8300018310547,161.99000549316406,2291400,161.99000549316406,URI
2018-02-09,166.44000244140625,156.00999450683594,164.50999450683594,164.25999450683594,2529300,164.25999450683594,URI
2018-02-12,168.77000427246094,163.2100067138672,166.6300048828125,166.05999755859375,1551500,166.05999755859375,URI
2018-02-13,167.4600067138672,164.52999877929688,165.10000610351562,166.3300018310547,1359300,166.3300018310547,URI
2018-02-14,168.2899932861328,163.33999633789062,164.02000427246094,167.0399932861328,1284800,167.0399932861328,URI
2018-02-15,169.69000244140625,164.11000061035156,169.0399932861328,167.24000549316406,1203600,167.24000549316406,URI
2018-02-16,170.69000244140625,166.41000366210938,166.41000366210938,168.02000427246094,1047800,168.02000427246094,URI
2018-02-20,174.75,166.8000030517578,167.19000244140625,172.25,1356900,172.25,URI
2018-02-21,175.61000061035156,171.60000610351562,171.86000061035156,171.89999389648438,1293400,171.89999389648438,URI
2018-02-22,176.44000244140625,172.58999633789062,173.64999389648438,175.16000366210938,1706000,175.16000366210938,URI
2018-02-23,179.22999572753906,175.3800048828125,176.69000244140625,179.08999633789062,1317300,179.08999633789062,URI
2018-02-26,181.07000732421875,177.36000061035156,180.36000061035156,180.6300048828125,1123100,180.6300048828125,URI
2018-02-27,182.16000366210938,178.30999755859375,180.5,178.4199981689453,1138300,178.4199981689453,URI
2018-02-28,179.99000549316406,175.0399932861328,179.4600067138672,175.08999633789062,1373500,175.08999633789062,URI
2018-03-01,175.0,170.4499969482422,174.75999450683594,173.24000549316406,1782300,173.24000549316406,URI
2018-03-02,177.11000061035156,169.5,172.64999389648438,176.60000610351562,1659800,176.60000610351562,URI
2018-03-05,181.1199951171875,173.75999450683594,175.3000030517578,180.7100067138672,1325900,180.7100067138672,URI
2018-03-06,185.83999633789062,178.5500030517578,180.77999877929688,184.99000549316406,1365600,184.99000549316406,URI
2018-03-07,184.6999969482422,177.30999755859375,182.77999877929688,181.35000610351562,1883700,181.35000610351562,URI
2018-03-08,184.41000366210938,180.00999450683594,181.5399932861328,183.36000061035156,885900,183.36000061035156,URI
2018-03-09,189.55999755859375,183.86000061035156,185.1199951171875,189.39999389648438,1069600,189.39999389648438,URI
2018-03-12,189.5,185.39999389648438,189.39999389648438,186.6300048828125,1347700,186.6300048828125,URI
2018-03-13,190.74000549316406,186.11000061035156,187.63999938964844,186.64999389648438,908200,186.64999389648438,URI
2018-03-14,188.2100067138672,184.11000061035156,187.91000366210938,184.82000732421875,889600,184.82000732421875,URI
2018-03-15,186.6300048828125,182.3699951171875,186.02000427246094,182.91000366210938,1012400,182.91000366210938,URI
2018-03-16,188.0,182.6199951171875,183.0,186.2899932861328,1089200,186.2899932861328,URI
2018-03-19,186.0800018310547,182.85000610351562,185.6199951171875,185.39999389648438,1018300,185.39999389648438,URI
2018-03-20,187.8800048828125,184.82000732421875,185.67999267578125,185.16000366210938,1037800,185.16000366210938,URI
2018-03-21,190.3000030517578,184.50999450683594,184.97000122070312,187.27000427246094,913800,187.27000427246094,URI
2018-03-22,186.22999572753906,179.5800018310547,184.0,180.25999450683594,1449100,180.25999450683594,URI
2018-03-23,181.11000061035156,174.02000427246094,181.11000061035156,174.17999267578125,1143200,174.17999267578125,URI
2018-03-26,180.80999755859375,175.91000366210938,177.6300048828125,180.57000732421875,1430700,180.57000732421875,URI
2018-03-27,183.75,176.0,181.47999572753906,177.14999389648438,1135700,177.14999389648438,URI
2018-03-28,177.22000122070312,168.9499969482422,177.22000122070312,169.11000061035156,1815400,169.11000061035156,URI
2018-03-29,174.1699981689453,168.44000244140625,170.89999389648438,172.72999572753906,1567900,172.72999572753906,URI
2018-04-02,172.74000549316406,163.57000732421875,172.0399932861328,166.60000610351562,1649800,166.60000610351562,URI
2018-04-03,169.82000732421875,166.32000732421875,167.27999877929688,169.5,1340000,169.5,URI
2018-04-04,174.38999938964844,164.4600067138672,165.0500030517578,173.67999267578125,1478000,173.67999267578125,URI
2018-04-05,178.75999450683594,174.0,175.3300018310547,177.94000244140625,1356900,177.94000244140625,URI
2018-04-06,179.2899932861328,169.61000061035156,176.22000122070312,172.13999938964844,1178700,172.13999938964844,URI
2018-04-09,175.44000244140625,171.66000366210938,173.97000122070312,171.94000244140625,932500,171.94000244140625,URI
2018-04-10,178.75999450683594,173.72999572753906,175.7100067138672,177.97000122070312,1115200,177.97000122070312,URI
2018-04-11,178.33999633789062,173.6300048828125,175.9499969482422,173.97000122070312,1026700,173.97000122070312,URI
2018-04-12,177.63999938964844,174.38999938964844,175.0,176.32000732421875,791600,176.32000732421875,URI
